Model,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Confusion,Contemplation,Contempt,Contentment,Craving,Desire,Determination,Disappointment,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Satisfaction,Shame,Surprise (negative),Surprise (positive),Sympathy,Tiredness,Triumph
deepgram_angry_voice3,0.015119622306277355,0.00974187278188765,0.011626351159065962,0.10231582696239154,0.3698340704043706,0.04886450245976448,0.011688362263763944,0.04341603877643744,0.020536794016758602,0.040731740184128284,0.06440310801068942,0.020500164634237688,0.014800723642110825,0.1938159093260765,0.05369985460614165,0.012805687185997764,0.0030955272183443108,0.4149479220310847,0.11714185525973637,0.13078897446393967,0.0958112155397733,0.02406539861112833,0.08686430278855066,0.015756461458901565,0.02199188097923373,0.011576927732676268,0.025372712252040703,0.25648650744309026,0.02310560845459501,0.017339174635708332,0.006700278415034215,0.04533864185214043,0.11983176631232102,0.006194381974637508,0.010450606544812521,0.027706756877402466,0.16991061313698688,0.06366139029463132,0.023801399239649374,0.004309343950202067,0.029822411481291056,0.21464789907137552,0.02031956985592842,0.02293701625118653,0.023907800593102973,0.04950533493926438,0.019087082085510094,0.15708177847166857
deepgram_angry_voice4,0.026937925567229588,0.013234525996570786,0.020371800288558006,0.06302192558844884,0.11762519801656406,0.02931738078283767,0.026620381356527407,0.013419676572084427,0.012969513268520435,0.056517476526399456,0.1475082958738009,0.006241057300940156,0.08861322080095609,0.14481752986709276,0.09317197278141975,0.03708615976696213,0.008896120823919773,0.6114584108193716,0.082165304881831,0.07616372344394524,0.027459865668788552,0.01592735790958007,0.10279824902924399,0.00853111951922377,0.0463426013981613,0.01906607144822677,0.023687107178072136,0.3269192553125322,0.013619592878967524,0.022657127274821203,0.0028000670135952532,0.1223717766503493,0.14740568026900291,0.009419820737093687,0.014694984536617994,0.02009042100204776,0.28578470398982364,0.13460914542277655,0.03764797064165274,0.010425915087883672,0.033072904489624,0.2379601908226808,0.015179946863402924,0.007684953976422548,0.02571728538411359,0.14432452203861126,0.02682348961631457,0.27649956072370213
dupdub_angry,0.019406018662266433,0.012056141742505133,0.017926275031641126,0.1673039086163044,0.303244411945343,0.07165153231471777,0.028748743468895555,0.029502443969249725,0.008589944103732705,0.011243789922446012,0.061809856444597244,0.01049891160801053,0.02181399054825306,0.12057934701442719,0.06248819804750383,0.04085057455813512,0.003012455883435905,0.5343079119920731,0.1263673584908247,0.05855921562761068,0.12960117682814598,0.017420480959117413,0.2315238588489592,0.025271532591432333,0.08462423511082307,0.02110993256792426,0.03500688448548317,0.47102907579392195,0.0179948634468019,0.04855247586965561,0.005866495193913579,0.14185413159430027,0.23644540808163583,0.008893767138943076,0.013983832905068994,0.04733415483497083,0.14826526306569576,0.10469784587621689,0.03299729572609067,0.0057462959084659815,0.06502669351175427,0.2683898648247123,0.04080853844061494,0.019671954214572906,0.07160996505990624,0.14366361274733208,0.010549229104071856,0.28786034137010574
dupdub1_angry,0.006587621367846926,0.00562996956675003,0.01162438040288786,0.08078152810533841,0.6126027206579844,0.08725933668514092,0.012590523770389458,0.02463001726816098,0.010520810106148323,0.004492355510592461,0.024976336086789768,0.017004339800526697,0.011125293094664812,0.2786954492330551,0.02531718323007226,0.031237517095481355,0.007381079621457805,0.4093981434901555,0.21061581124862036,0.18542089313268661,0.18683623895049095,0.014946998717884222,0.08081359458932032,0.022553543249766033,0.08010289185525228,0.010929505806416273,0.03854390668372313,0.307398715056479,0.025581882645686466,0.023669969600935776,0.01206023145156602,0.0409827563756456,0.05250143756469091,0.004533512828250726,0.004977245194216569,0.050686478770027556,0.08531825834264357,0.09506462266047795,0.01985045863936345,0.005748020873094599,0.04140076165397962,0.0948355565002809,0.02405029597381751,0.029515784854690235,0.02364473568741232,0.11676089898295079,0.02094571975370248,0.14397118178506693
elevenlabs_angry_voice1,0.013715256995055825,0.008335604827152565,0.011147192883072421,0.06498300388921052,0.5923499185591936,0.058298804331570864,0.022308849496766925,0.010509626241400838,0.006196214410010725,0.04087776690721512,0.11054951511323452,0.011343207326717675,0.024007056490518153,0.22036451939493418,0.060583645186852664,0.01167950447415933,0.0029178911354392767,0.6029134020209312,0.08270301390439272,0.11287711490876973,0.10023024817928672,0.010173605638556182,0.12337083445163444,0.009526781621389091,0.036448463855776936,0.011837721744086593,0.02305725181940943,0.2862632595933974,0.01831718790344894,0.015880920458585024,0.0063175656250678,0.05804636119864881,0.11232973670121282,0.007091505569405854,0.006683185580186546,0.020912236243020743,0.17975329235196114,0.06577658466994762,0.021313583594746888,0.0029644532478414476,0.022547570115420967,0.1527039499487728,0.013499361055437475,0.019400516524910927,0.036264462396502495,0.06198492824478308,0.007391323917545378,0.20130241056904197
elevenlabs_angry_voice2,0.013051291462033987,0.008650451665744185,0.0071090561687015,0.08321129344403744,0.7627023756504059,0.08739835023880005,0.01814127096440643,0.019073698669672012,0.0026264762273058295,0.002464782039169222,0.05750216357409954,0.008705536485649645,0.00631178985349834,0.45213595777750015,0.05286640266422182,0.022363617550581694,0.0013850309769622982,0.7725032269954681,0.23113330081105232,0.3959439732134342,0.278106989338994,0.011636337265372276,0.1944985903101042,0.03632008982822299,0.06641268962994218,0.012745531857945025,0.05471082404255867,0.43562313029542565,0.020637483103200793,0.04117621714249253,0.007609510561451316,0.04033925989642739,0.13837205909658223,0.005716737476177514,0.007419478381052613,0.05366500373929739,0.36789014795795083,0.053432758897542953,0.019327807240188122,0.0022696503438055515,0.0407035214593634,0.2683637470472604,0.03864078735932708,0.025508407037705183,0.0327311871224083,0.06798500553122722,0.011897672899067402,0.45310224685817957
elevenlabs_angry_voice3,0.012756701248387495,0.00910036324057728,0.006742377047582219,0.06312633243699868,0.7835620045661926,0.03439801651984453,0.015538124251179397,0.011866872819761435,0.00792843623397251,0.04925917954339335,0.0735501969854037,0.010118703047434488,0.019956389752527077,0.3788183977206548,0.04461227485444397,0.012309873942285776,0.001704836458278199,0.5157880087693533,0.16359111169974008,0.19688664997617403,0.09014596541722615,0.01095971263324221,0.13963445376915237,0.01061815426995357,0.016840931309464697,0.00851787708234042,0.03446192480623722,0.2907927241176367,0.008737723032633463,0.013341118271152178,0.004773928124147157,0.03741696306193868,0.10175320184013496,0.005948602221906185,0.0068645797825107975,0.017212301259860396,0.24003923560182253,0.05793906996647517,0.0125760977777342,0.002184643701184541,0.022436988384773333,0.19672686761866012,0.013656205187241236,0.02061590024580558,0.02846861401728044,0.029235645352552336,0.009746766338745752,0.26477683801203966
elevenlabs_angry_voice4,0.014646634459495544,0.010076626592005292,0.015396479284390807,0.1300673447549343,0.6047287036975225,0.05245751763383547,0.014579089746500054,0.018399881509443123,0.004786055767908692,0.011426370629730323,0.0693798412879308,0.00803477429629614,0.014797150894689063,0.25200222432613373,0.04000448125104109,0.04161252384074032,0.002428443287499249,0.6215825577576956,0.0980081067730983,0.12370531881848972,0.09093899155656497,0.012898465851321816,0.12395700191458066,0.019443220148483913,0.03316170991941666,0.015066977590322495,0.036154537772138916,0.3600795740882556,0.0113167236559093,0.022318059112876654,0.0037255911932637296,0.10188622811498742,0.15818800342579684,0.00741058945034941,0.013341251508488009,0.014701249077916145,0.145822179193298,0.04191891476511955,0.02281834774961074,0.00476822901206712,0.022856024870028097,0.14780527849992117,0.02172993290393303,0.01359558648740252,0.02643177689363559,0.07300889922771603,0.01185252626116077,0.2590450181936224
gemini_anger_3,0.014921111365159353,0.00780484111358722,0.007382535375654697,0.07092851027846336,0.7784361839294434,0.06776474664608638,0.02087488134081165,0.02154518011957407,0.0021167309411490955,0.0015165019528164219,0.023667530156672,0.016103399296601612,0.004173706460278481,0.3410516269505024,0.008097690918172399,0.015211161070813736,0.0015581433156815667,0.45411135752995807,0.26831154711544514,0.3426019561787446,0.21742634723583856,0.017209717150156695,0.09014467056840658,0.023247246475269396,0.04629064465795333,0.00727648187118272,0.03355571130911509,0.3274908798436324,0.03158509048322836,0.02651265876678129,0.021274026483297348,0.03740344926094016,0.07602305291220546,0.005181500222533941,0.006731297684988628,0.0375706412208577,0.08897225558757782,0.10813889528314273,0.006988878672321637,0.002566278368855516,0.02645494369789958,0.05396485375240445,0.030581177794374526,0.09560015549262364,0.03747664329906305,0.0633833316048064,0.009442571589412788,0.12410531161973874
google_gemini_angry_voice1,0.009848722101499638,0.0045090273876364035,0.010123735837017497,0.06179362659653028,0.7347183227539062,0.09251155455907185,0.015500383141140142,0.01851099170744419,0.0026661415273944535,0.003919102426152676,0.04680406302213669,0.01818140336157133,0.010464526092012724,0.316028689344724,0.018883340060710907,0.03901152091566473,0.004940677511816223,0.63241579135259,0.18635749941070875,0.23238738626241684,0.1813029075662295,0.021554031719764073,0.04628161139165362,0.022516499583919842,0.07943316836220522,0.012851885985583067,0.05875548844536146,0.26151756942272186,0.020594585686922073,0.028683882827560108,0.00821663485839963,0.07073336529235046,0.028205004210273426,0.005277959746308625,0.009154354280326515,0.03309441450983286,0.10061987179021041,0.08989684035380681,0.01000072325890263,0.00583977058219413,0.02383850251014034,0.0858254370590051,0.02397411921992898,0.027294193704922993,0.018405538362761337,0.1581415285472758,0.0116633966875573,0.15639635485907397
google_gemini_angry_voice2,0.012170018802862614,0.0070139787858352065,0.012795954302418977,0.05214830255135894,0.6949711516499519,0.07013794162776321,0.028517031285446137,0.013561998377554119,0.0021195156150497496,0.002601456712000072,0.02924474235624075,0.01507547899382189,0.0075617248367052525,0.3456218708306551,0.04562924971105531,0.03629753347195219,0.007752139019430615,0.5060679838061333,0.2323187398724258,0.25113838259130716,0.2099139029160142,0.015113357338123024,0.16079301194986328,0.021102736005559564,0.05022734130761819,0.017625705513637513,0.022090541082434356,0.3488742536865175,0.018088778422679752,0.027946214424446225,0.010237400594633073,0.04882638464914635,0.09451221127528697,0.005838181736180559,0.005128680772031657,0.051673884969204664,0.22600491798948497,0.0793799189850688,0.02858148596715182,0.00700100528774783,0.038066807377617806,0.175739050086122,0.02084448409732431,0.04592184675857425,0.03070200077490881,0.054363057995942654,0.011000685160979629,0.3121498643886298
google_gemini_angry_voice3,0.02089204452931881,0.011935043265111744,0.013987094920594245,0.08748610131442547,0.6173020899295807,0.06578893028199673,0.02937555604148656,0.017726594116538763,0.0017456633504480124,0.0035131433978676796,0.045936440117657185,0.011385391582734883,0.00621730915736407,0.33203360438346863,0.08315718616358936,0.018678519991226494,0.0022068555117584765,0.6608550697565079,0.18751552607864141,0.2850825823843479,0.18739065807312727,0.015902300598099828,0.1872817421099171,0.01934359478764236,0.04082916151673999,0.01627276511862874,0.027379256673157215,0.4075558613985777,0.01565414178185165,0.028313949471339583,0.006353131728246808,0.053598989732563496,0.18397040199488401,0.00822747580241412,0.006344119319692254,0.038617193582467735,0.3526038909330964,0.06626837514340878,0.02983344392850995,0.003429887699894607,0.029849072103388608,0.34595718095079064,0.021704338025301695,0.030603937804698944,0.03389144083485007,0.04459327695076354,0.008037718012928963,0.3677989998832345
